Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Solomon Islands,...,...,Development,GDP (current US$ Mil),           1303.45,           1232.70,           1154.65,           1172.27,           1129.79,           1063.88,            932.73,            681.15,            597.77,            608.29,            516.07,            456.71,            413.91,            375.11,            332.74,            341.66,            400.46,            435.10,            482.21,            471.18,            567.92,            565.16,            519.33,            464.76,            410.92,            378.78,            320.36,            302.52,            332.29,            310.68
Solomon Islands,...,...,Export,No. Of Export partners,             50.00,             54.00,             48.00,             38.00,             49.00,             32.00,             32.00,             31.00,             36.00,             34.00,             37.00,             34.00,             31.00,             33.00,             28.00,             24.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Export,No. Of Export products,            296.00,            304.00,            222.00,            137.00,            151.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Import,No. Of Import partners,             92.00,            101.00,             85.00,             49.00,            115.00,             74.00,             82.00,             80.00,             97.00,             37.00,             55.00,             52.00,             63.00,             42.00,             39.00,             52.00,,,,,,             48.00,,,,,,,,
Solomon Islands,...,...,Import,No. Of Import products,           2801.00,           2905.00,           2758.00,           1059.00,           1042.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Solomon Islands,...,...,Tariff,No. Of Tariff Agreement,              3.00,              3.00,              3.00,,              2.00,,              2.00,              2.00,,              2.00,              2.00,              2.00,,,,,,,,,,,,,,,,,,
Solomon Islands,...,...,Development,Trade Balance (current US$ Mil),,,            -95.19,           -122.48,           -110.20,            -15.60,           -107.70,           -216.76,           -109.39,           -139.30,           -115.47,            -96.35,            -84.99,            -42.90,            -17.53,            -35.58,            -77.61,            -63.27,            -30.94,            -77.66,           -152.90,           -120.88,           -115.86,           -148.81,           -124.07,           -107.44,           -137.32,           -104.79,           -127.20,            -85.38
Solomon Islands,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             48.57,            110.74,            117.62,             72.77,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            113.91,             92.48,            134.50,            137.81,            159.07,            156.74,            139.93,            106.07,             38.72,             62.02,             88.87,             86.73,             58.31,             42.15,             32.26,             27.17,,,,,,             84.31,,,,,,,,
Solomon Islands,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            325.83,            273.32,            232.21,            263.85,            219.19,            180.17,            181.03,            105.68,             96.59,             87.52,             73.76,             51.66,             32.23,             22.36,             16.75,              6.18,,,,,,,,,,,,,,
Solomon Islands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             71.85,             67.39,             49.14,             59.84,             48.20,             41.90,             49.30,             42.28,             23.65,             17.60,,,,,,,,,,,,              4.59,,,,,,,,
Solomon Islands,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              2.82,,,,,,,,,,,,,,
Solomon Islands,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             18.19,             17.24,             28.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             38.70,             30.51,             27.63,             26.88,             30.78,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              7.59,             11.99,              4.78,,,,,,,,,,,,,,,,,
Solomon Islands,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             30.38,             33.15,,             28.85,,,,,,             23.41,             17.31,,,,,,,,,,             16.36,,,,,,,,
Solomon Islands,"Korea, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              9.63,,,             11.83,              5.78,,,,,,,,,,,,,,,
Solomon Islands,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              8.82,             10.63,,,,,,,,,,,,,,,,,
Solomon Islands,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             72.76,             47.71,             49.89,             41.80,             43.95,             27.74,             29.59,             17.50,,,             16.58,             18.23,             11.82,,,,,,,,,,,,,,,,,
Solomon Islands,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             20.68,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             75.28,,,             30.42,,             25.19,             26.97,             19.35,             13.67,,,             17.88,              8.99,              9.55,              6.47,              4.42,,,,,,             21.35,,,,,,,,
Solomon Islands,Papua New Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             17.68,             16.30,,             12.87,              8.75,              8.77,              4.85,,,,,,,,,,,,,,
Solomon Islands,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             17.58,             16.20,             16.42,             13.02,,             29.26,             30.80,             17.59,             14.36,             25.70,             11.24,,              4.70,              6.63,              6.21,              4.90,,,,,,,,,,,,,,
Solomon Islands,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             11.05,,,,              4.56,              3.69,              1.69,,,,,,,,,,,,,,
Solomon Islands,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             78.92,             70.49,             79.80,            121.06,            180.35,            139.09,             94.77,             78.88,             49.56,             86.86,             77.28,             24.85,              8.68,              5.88,             15.58,              5.66,,,,,,              9.81,,,,,,,,
Solomon Islands,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             14.78,             23.55,             16.49,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             19.34,,,,,,,,             11.85,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             16.47,             25.01,             22.25,             12.83,             10.36,             27.59,             11.43,              7.66,              3.82,,,,,,,,,,,,,,,,,
Solomon Islands,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             19.31,             29.47,             28.99,             29.84,             40.21,,             15.96,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             31.12,             32.74,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             13.76,,             23.77,             22.12,             17.33,,,,,,,,,,,,,,
Solomon Islands,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             27.26,             14.80,              3.73,,,,,,,,,,,,,,
Solomon Islands,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          74598.20,          70663.77,          66744.79,,,,,,,           2306.63,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Animal,Export,Export(US$ Mil),             51.28,             37.17,              1.24,              1.15,              1.06,             50.04,             43.23,             20.83,             25.79,             38.41,             21.85,             13.71,              2.46,              2.24,              1.93,              1.57,,,,,,,,,,,,,,
Solomon Islands,World,Capital goods,Export,Export(US$ Mil),              3.32,              5.41,              6.06,              2.94,              0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Chemicals,Export,Export(US$ Mil),              0.06,              0.04,              0.04,              0.28,              0.06,              0.36,              0.24,              0.07,              0.11,,              0.02,              0.00,              0.00,              0.00,              0.00,              0.02,,,,,,,,,,,,,,
Solomon Islands,World,Consumer goods,Export,Export(US$ Mil),             24.42,             10.24,              3.06,              7.32,              2.19,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Food Products,Export,Export(US$ Mil),             12.21,             17.27,             13.70,             15.85,             11.19,             18.26,             19.44,             15.51,             17.35,             13.98,              7.87,              4.96,              5.60,              4.91,              6.19,              3.39,,,,,,,,,,,,,,
Solomon Islands,World,Footwear,Export,Export(US$ Mil),              0.00,              0.00,              0.00,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,,,              0.00,,              0.00,,,,,,,,,,,,,,,,
Solomon Islands,World,Fuels,Export,Export(US$ Mil),              0.00,              0.05,              0.01,              0.00,              0.04,              0.01,              0.02,              0.00,              0.00,,,              0.01,              0.01,              0.03,              0.00,,,,,,,,,,,,,,,
Solomon Islands,World,Hides and Skins,Export,Export(US$ Mil),,,,              0.00,,              0.03,              0.00,              0.00,,,              0.00,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Intermediate goods,Export,Export(US$ Mil),             74.37,             94.21,             43.00,             32.84,             34.52,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Mach and Elec,Export,Export(US$ Mil),              2.50,              4.23,              4.69,              1.30,              0.92,              4.18,              1.84,              4.58,              0.63,              0.37,              0.18,              1.58,              0.16,              0.05,              0.51,              0.14,,,,,,,,,,,,,,
Solomon Islands,World,Metals,Export,Export(US$ Mil),              0.46,              0.47,              0.20,              0.51,              0.29,              1.91,              1.04,              0.35,              0.16,              0.42,              0.22,              0.04,              0.05,              0.03,              0.06,              0.02,,,,,,,,,,,,,,
Solomon Islands,World,Minerals,Export,Export(US$ Mil),             20.98,              0.62,              2.70,              0.87,              0.52,              0.89,              0.54,              0.23,              0.00,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Miscellaneous,Export,Export(US$ Mil),              0.37,              2.35,            174.34,            388.77,            200.36,              0.12,              0.33,              0.55,              0.39,,              0.06,             13.37,              0.01,             23.79,             22.16,             17.33,,,,,,,,,,,,,,
